Date,State,County,Area,Prcp,Snow,Temp,NumPolice,MalePopulation,FemalePopulation,AvgIncome,WhiteMale,WhiteFemale,BlackMale,BlackFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_29,Age30_34,Age35_39,Age40_44,Age45_49,Age50_54,Age55_59,Age60_64,Age65_69,Age70_74,Age75_79,Age80_84,Age85Plus,Party_Gop,Party_Dem,Party_Total
10/15/2020,Michigan,Luce County,4953.310241,36.18,122.3,40.35,5,3710,2519,31827,0.4194894847,0.3525445497,0.1184780864,0.0016053941,0.0016053941,0.0008026971,0.0094718253,0.0077058918,0.0449510355,0.0427034837,0.045914272,0.0465564296,0.0582758067,0.0687108685,0.0667843956,0.0664633167,0.0646973832,0.0671054744,0.064215765,0.0735270509,0.0793064697,0.0610049767,0.0520147696,0.0396532349,0.0319473431,0.0261679242,2109,842,3001
10/15/2020,Michigan,Mackinac County,5440.398731,30.07,97.7,42.65,35,5487,5312,44457,0.3684600426,0.3577183073,0.0187054357,0.0162052042,0.0048152607,0.0040744513,0.009445319,0.0102787295,0.040559311,0.0400963052,0.0446337624,0.0499120289,0.0450967682,0.0532456709,0.0462079822,0.0447263636,0.0473191962,0.0609315677,0.0637096027,0.0863968886,0.0915825539,0.0943605889,0.0706546902,0.0558385036,0.0345402352,0.0301879804,4304,2632,7015
10/15/2020,Michigan,Macomb County,1478.678425,33.6625,32,48.13333333,1736,425615,448357,46530,0.3829333205,0.3968170605,0.0573279235,0.0686269125,0.0207306413,0.0218302188,0.0141022825,0.0134546645,0.0543781723,0.0563679386,0.0594103701,0.0586380342,0.0595270787,0.0735973235,0.0638304202,0.0600614207,0.0588176738,0.066260704,0.0704599232,0.0746110859,0.0698145936,0.0559217,0.0440300147,0.0313282348,0.0207443717,0.0222009401,263863,223952,494219
10/15/2020,Michigan,Manistee County,3317.057186,35.36666667,98.7,46.4,43,12662,11896,38814,0.4445394576,0.4413633032,0.0313950647,0.002850395,0.0016695171,0.0023617558,0.01706165,0.0179574884,0.0428373646,0.0430816842,0.0503705513,0.0543611043,0.0548904634,0.0563563808,0.0498411923,0.0487417542,0.0475608763,0.0549311833,0.0635230882,0.0783044222,0.0922306377,0.0858783289,0.0684094796,0.0491489535,0.0304585064,0.0290740288,8321,6107,14654
10/15/2020,Michigan,Marquette County,8870.758753,32.50833333,161.8,40.16,145,33570,33129,40036,0.4584476529,0.4608314967,0.0142131066,0.0032834075,0.0024438147,0.006132026,0.008171037,0.0076013134,0.0463125384,0.0501056987,0.0516649425,0.0712154605,0.1135099477,0.0615901288,0.0548733864,0.0584416558,0.0533291354,0.052189688,0.0541837209,0.0656381655,0.0707207005,0.0672273947,0.0501656697,0.0315447008,0.0230588165,0.0242282493,16286,20465,37458
10/15/2020,Michigan,Mason County,3217.579846,36.2,82.5,46.8,59,14439,14705,41667,0.4505901729,0.4629083173,0.0051125446,0.0039459237,0.0036714247,0.0033626132,0.0238127917,0.0226804831,0.0531498765,0.0539390612,0.0601152896,0.054282185,0.0493755147,0.0563066154,0.0499588251,0.0551399945,0.0501646994,0.0534586879,0.0589829811,0.0757960472,0.0867760088,0.0815948394,0.0602525391,0.0435767225,0.0289596486,0.0281704639,10207,6802,17249
10/15/2020,Michigan,Mecosta County,1479.508717,36.6,61.1,44.8,83,21857,21596,34252,0.4567233563,0.4538236716,0.0144293835,0.0143603434,0.0046026742,0.0043725404,0.0128184475,0.0114146319,0.0486042391,0.0494557338,0.0536441673,0.0952293282,0.1219248383,0.057786574,0.0507905093,0.048972453,0.0457045543,0.0479368513,0.0550709962,0.0685338181,0.0699836605,0.0621361011,0.0481439716,0.036683313,0.0219777691,0.0174211217,13267,7375,21046
10/15/2020,Michigan,Menominee County,3465.852002,30.425,61.4,42.1,54,11547,11233,43594,0.4686567164,0.4560579456,0.0040386304,0.0026338894,0.0020193152,0.0027216857,0.0097892888,0.0102282704,0.0432396839,0.0446883231,0.0528533802,0.0546093064,0.0481123793,0.0510535558,0.0479367867,0.0525460931,0.0537313433,0.0553555751,0.0692273924,0.0824846356,0.0884108867,0.0824846356,0.0647497805,0.045215101,0.0293678665,0.0339332748,8117,4316,12606
10/15/2020,Michigan,Midland County,1367.691342,31.94,38.7,47.05,118,41170,41986,60467,0.4501539276,0.4620231853,0.0084419645,0.0061210255,0.0108711338,0.0129034586,0.0154408581,0.013829429,0.0544759248,0.0573139641,0.0611862042,0.0647097022,0.0574582712,0.0629419404,0.0616552023,0.0617874838,0.0576025783,0.0593583145,0.0681610467,0.0748352494,0.0696522199,0.0594785704,0.044602915,0.0339602674,0.0243638463,0.026456299,27675,20493,49073
10/15/2020,Michigan,Missaukee County,1486.382428,31.565,68.6,43.3,26,7620,7498,34972,0.4723508401,0.4652731843,0.0034396084,0.0023812674,0.0029104379,0.0036380474,0.0166027252,0.0138907263,0.0625082683,0.063698902,0.0628389999,0.0595978304,0.0488821273,0.0591348062,0.0546368567,0.055959783,0.0481545178,0.0550998809,0.063500463,0.0781849451,0.0804339198,0.064757243,0.054703003,0.0383648631,0.0276491599,0.0218944305,6648,1967,8754
10/15/2020,Michigan,Monroe County,1761.021509,34.56,42.5,49.1625,276,74308,76192,47496,0.4485182724,0.4617408638,0.0133887043,0.0131760797,0.0031694352,0.0037142857,0.018923588,0.0185581395,0.0515415282,0.0582192691,0.0612491694,0.0614883721,0.0565049834,0.0617674419,0.0558405316,0.0587641196,0.0581594684,0.0647508306,0.0694219269,0.0788704319,0.0758604651,0.063255814,0.0480797342,0.0330963455,0.0213887043,0.0217408638,52710,32975,87148
