GeoName,LineCode,Description,Unit,Year,Value
Alaska,2,Population (persons) 1/,Number of persons,2018,737717
Alaska,3,Per capita personal income (dollars) 2/,Dollars,2018,58997
"Aleutians East Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,192045
"Aleutians East Borough, AK*",2,Population (persons) 1/,Number of persons,2018,3405
"Aleutians East Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,56401
"Aleutians West Census Area, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,305957
"Aleutians West Census Area, AK*",2,Population (persons) 1/,Number of persons,2018,5293
"Aleutians West Census Area, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,57804
"Anchorage Municipality, AK",1,Personal income (thousands of dollars),Thousands of dollars,2018,19242734
"Anchorage Municipality, AK",2,Population (persons) 1/,Number of persons,2018,294257
"Anchorage Municipality, AK",3,Per capita personal income (dollars) 2/,Dollars,2018,65394
"Bethel Census Area, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,815785
"Bethel Census Area, AK*",2,Population (persons) 1/,Number of persons,2018,18434
"Bethel Census Area, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,44254
"Bristol Bay Borough, AK",1,Personal income (thousands of dollars),Thousands of dollars,2018,121728
"Bristol Bay Borough, AK",2,Population (persons) 1/,Number of persons,2018,919
"Bristol Bay Borough, AK",3,Per capita personal income (dollars) 2/,Dollars,2018,132457
"Denali Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,171669
"Denali Borough, AK*",2,Population (persons) 1/,Number of persons,2018,1666
"Denali Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,103043
"Dillingham Census Area, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,292027
"Dillingham Census Area, AK*",2,Population (persons) 1/,Number of persons,2018,5008
"Dillingham Census Area, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,58312
"Fairbanks North Star Borough, AK",1,Personal income (thousands of dollars),Thousands of dollars,2018,5544411
"Fairbanks North Star Borough, AK",2,Population (persons) 1/,Number of persons,2018,98443
"Fairbanks North Star Borough, AK",3,Per capita personal income (dollars) 2/,Dollars,2018,56321
"Haines Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,171329
"Haines Borough, AK*",2,Population (persons) 1/,Number of persons,2018,2086
"Haines Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,82133
"Hoonah-Angoon Census Area, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,131543
"Hoonah-Angoon Census Area, AK*",2,Population (persons) 1/,Number of persons,2018,2314
"Hoonah-Angoon Census Area, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,56847
"Juneau City and Borough, AK",1,Personal income (thousands of dollars),Thousands of dollars,2018,2209874
"Juneau City and Borough, AK",2,Population (persons) 1/,Number of persons,2018,32323
"Juneau City and Borough, AK",3,Per capita personal income (dollars) 2/,Dollars,2018,68368
"Kenai Peninsula Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,3007832
"Kenai Peninsula Borough, AK*",2,Population (persons) 1/,Number of persons,2018,58193
"Kenai Peninsula Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,51687
"Ketchikan Gateway Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,924574
"Ketchikan Gateway Borough, AK*",2,Population (persons) 1/,Number of persons,2018,14006
"Ketchikan Gateway Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,66013
"Kodiak Island Borough, AK",1,Personal income (thousands of dollars),Thousands of dollars,2018,799012
"Kodiak Island Borough, AK",2,Population (persons) 1/,Number of persons,2018,13414
"Kodiak Island Borough, AK",3,Per capita personal income (dollars) 2/,Dollars,2018,59566
"Kusilvak Census Area, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,252848
"Kusilvak Census Area, AK*",2,Population (persons) 1/,Number of persons,2018,8372
"Kusilvak Census Area, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,30202
"Lake and Peninsula Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,97694
"Lake and Peninsula Borough, AK*",2,Population (persons) 1/,Number of persons,2018,1553
"Lake and Peninsula Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,62907
"Matanuska-Susitna Borough, AK",1,Personal income (thousands of dollars),Thousands of dollars,2018,4998190
"Matanuska-Susitna Borough, AK",2,Population (persons) 1/,Number of persons,2018,105159
"Matanuska-Susitna Borough, AK",3,Per capita personal income (dollars) 2/,Dollars,2018,47530
"Nome Census Area, AK",1,Personal income (thousands of dollars),Thousands of dollars,2018,514162
"Nome Census Area, AK",2,Population (persons) 1/,Number of persons,2018,10173
"Nome Census Area, AK",3,Per capita personal income (dollars) 2/,Dollars,2018,50542
"North Slope Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,819548
"North Slope Borough, AK*",2,Population (persons) 1/,Number of persons,2018,10822
"North Slope Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,75730
"Northwest Arctic Borough, AK",1,Personal income (thousands of dollars),Thousands of dollars,2018,369048
"Northwest Arctic Borough, AK",2,Population (persons) 1/,Number of persons,2018,7829
"Northwest Arctic Borough, AK",3,Per capita personal income (dollars) 2/,Dollars,2018,47139
"Petersburg Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,221647
"Petersburg Borough, AK*",2,Population (persons) 1/,Number of persons,2018,3339
"Petersburg Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,66381
"Prince of Wales-Hyder Census Area, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,282127
"Prince of Wales-Hyder Census Area, AK*",2,Population (persons) 1/,Number of persons,2018,6018
"Prince of Wales-Hyder Census Area, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,46881
"Sitka City and Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,580409
"Sitka City and Borough, AK*",2,Population (persons) 1/,Number of persons,2018,8574
"Sitka City and Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,67694
"Skagway Municipality, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,92250
"Skagway Municipality, AK*",2,Population (persons) 1/,Number of persons,2018,1220
"Skagway Municipality, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,75615
"Southeast Fairbanks Census Area, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,348140
"Southeast Fairbanks Census Area, AK*",2,Population (persons) 1/,Number of persons,2018,6845
"Southeast Fairbanks Census Area, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,50860
"Valdez-Cordova Census Area, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,558724
"Valdez-Cordova Census Area, AK*",2,Population (persons) 1/,Number of persons,2018,9644
"Valdez-Cordova Census Area, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,57935
"Wrangell City and Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,120146
"Wrangell City and Borough, AK*",2,Population (persons) 1/,Number of persons,2018,2209
"Wrangell City and Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,54389
"Yakutat City and Borough, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,34472
"Yakutat City and Borough, AK*",2,Population (persons) 1/,Number of persons,2018,635
"Yakutat City and Borough, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,54287
"Yukon-Koyukuk Census Area, AK*",1,Personal income (thousands of dollars),Thousands of dollars,2018,302824
"Yukon-Koyukuk Census Area, AK*",2,Population (persons) 1/,Number of persons,2018,5564
"Yukon-Koyukuk Census Area, AK*",3,Per capita personal income (dollars) 2/,Dollars,2018,54426
Arizona,1,Personal income (thousands of dollars),Thousands of dollars,2018,315458961
Arizona,2,Population (persons) 1/,Number of persons,2018,6969944
Arizona,3,Per capita personal income (dollars) 2/,Dollars,2018,45260
"Apache, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,2399258
"Apache, AZ",2,Population (persons) 1/,Number of persons,2018,66918
"Apache, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,35854
"Cochise, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,4947982
"Cochise, AZ",2,Population (persons) 1/,Number of persons,2018,124838
"Cochise, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,39635
"Coconino, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,6919869
"Coconino, AZ",2,Population (persons) 1/,Number of persons,2018,144921
"Coconino, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,47749
"Gila, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,2095880
"Gila, AZ",2,Population (persons) 1/,Number of persons,2018,52994
"Gila, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,39549
"Graham, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,1166091
"Graham, AZ",2,Population (persons) 1/,Number of persons,2018,37535
"Graham, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,31067
"Greenlee, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,377009
"Greenlee, AZ",2,Population (persons) 1/,Number of persons,2018,9563
"Greenlee, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,39424
"La Paz, AZ*",1,Personal income (thousands of dollars),Thousands of dollars,2018,660455
"La Paz, AZ*",2,Population (persons) 1/,Number of persons,2018,17060
